GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34013001100,Essex,3377,103086.0,14.93,41.4,3.2,1.72,0.0,18.45,30.97,25.11,20.23,12.8
34013001300,Essex,2453,51324.0,39.9,52.17,19.49,11.62,8.07,26.58,62.17,3.67,1.71,29.4
34013001400,Essex,3492,69628.0,11.43,40.92,9.51,9.77,13.72,7.9,88.29,0.26,0.0,20.1
34013001500,Essex,2059,36797.0,41.13,81.52,5.25,8.16,2.55,1.51,95.73,0.97,0.0,29.8
34013001600,Essex,2042,61500.0,24.09,50.59,12.83,12.63,15.9,41.92,45.89,1.47,0.0,27.1
34013001700,Essex,2550,42299.0,30.0,44.04,30.75,15.76,9.99,32.94,67.06,0.0,0.0,29.4
34013001800,Essex,2390,63103.0,9.89,22.06,9.08,12.18,8.54,13.97,82.01,0.71,0.0,14.6
34013001900,Essex,2259,41917.0,35.9,50.64,6.82,9.12,11.19,15.71,79.86,3.72,0.71,26.1
34013002000,Essex,4138,26250.0,26.68,55.56,5.44,16.19,17.38,2.22,94.01,0.14,0.0,28.6
34013002100,Essex,2791,48229.0,21.56,50.36,18.13,15.48,5.53,0.0,92.98,0.0,3.3,24.4
34013002202,Essex,3369,70625.0,13.36,45.2,5.55,20.27,0.76,10.21,79.49,1.31,0.0,18.4
34013002203,Essex,6237,34031.0,28.96,64.76,15.81,8.13,41.7,41.48,25.24,5.64,23.73,40.0
34013002204,Essex,2379,101250.0,14.8,29.89,8.66,15.3,7.79,14.67,71.33,2.31,0.0,17.7
34013002300,Essex,5619,84038.0,5.89,26.25,7.88,10.16,5.64,11.46,87.7,0.0,0.0,12.7
34013002400,Essex,3844,46199.0,18.72,55.55,4.83,8.64,6.65,13.71,82.7,0.57,0.0,20.9
34013002500,Essex,5569,78147.0,25.41,41.84,18.14,14.46,9.28,10.77,86.82,0.65,0.0,24.8
34013002600,Essex,1813,49848.0,16.66,42.14,6.89,11.91,3.22,19.47,78.76,0.88,0.0,17.7
34013002800,Essex,2413,59583.0,30.46,59.96,14.96,1.37,1.24,0.62,92.83,0.0,2.28,22.9
